ID,資產編號,價格,類型,部門,負責人,購買日期,狀態,更新日期,創建日期
471,P-023,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
472,PC-015,400,電腦(PC),資訊部(IT),,,使用中,2018/11/09,2018/09/19
473,PC-016,400,電腦(PC),資訊部(IT),,,使用中,2018/11/09,2018/09/19
474,A-022,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
475,A-023,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
476,M-010,400,滑鼠(M),公關部(PR),,,使用中,2018/11/09,2018/09/19
477,P-024,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
478,M-011,400,滑鼠(M),研發部(RD),,,使用中,2018/11/09,2018/09/19
479,PC-017,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
480,PC-018,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
481,M-012,400,滑鼠(M),公關部(PR),,,使用中,2018/11/09,2018/09/19
482,A-024,400,延長線(A),客服部(CS),,,使用中,2018/11/09,2018/09/19
483,P-025,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
484,M-013,400,滑鼠(M),資訊部(IT),,,使用中,2018/11/09,2018/09/19
485,P-026,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
486,PC-019,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
487,M-014,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
488,M-015,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
489,PC-020,400,電腦(PC),人資部(HR),,,使用中,2018/11/09,2018/09/19
490,A-025,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
491,PC-021,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
492,P-027,400,變壓器(P),資訊部(IT),,,使用中,2018/11/09,2018/09/19
493,P-028,400,變壓器(P),資訊部(IT),,,使用中,2018/11/09,2018/09/19
494,M-016,400,滑鼠(M),客服部(CS),,,使用中,2018/11/09,2018/09/19
495,M-017,400,滑鼠(M),資訊部(IT),,,使用中,2018/11/09,2018/09/19
496,P-029,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
497,M-018,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
498,M-019,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
499,A-026,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
500,PC-022,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
501,M-020,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
502,A-027,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
503,M-021,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
504,PC-023,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
505,P-030,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
506,PC-024,400,電腦(PC),運營部(OM),,,使用中,2018/11/09,2018/09/19
507,PC-025,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
508,A-028,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
509,M-022,400,滑鼠(M),研發部(RD),,,使用中,2018/11/09,2018/09/19
510,PC-026,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
511,M-023,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
512,A-029,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
513,P-031,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
514,M-024,400,滑鼠(M),客服部(CS),,,使用中,2018/11/09,2018/09/19
515,A-030,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
516,M-025,400,滑鼠(M),公關部(PR),,,使用中,2018/11/09,2018/09/19
517,PC-027,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
518,PC-028,400,電腦(PC),運營部(OM),,,使用中,2018/11/09,2018/09/19
519,M-026,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
520,M-027,400,滑鼠(M),資訊部(IT),,,使用中,2018/11/09,2018/09/19
521,M-028,400,滑鼠(M),研發部(RD),,,使用中,2018/11/09,2018/09/19
522,PC-029,400,電腦(PC),資訊部(IT),,,使用中,2018/11/09,2018/09/19
523,PC-030,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
524,A-031,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
525,PC-031,400,電腦(PC),人資部(HR),,,使用中,2018/11/09,2018/09/19
526,A-032,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
527,PC-032,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
528,A-033,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
529,P-032,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
530,PC-033,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
531,PC-034,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
532,A-034,400,延長線(A),客服部(CS),,,使用中,2018/11/09,2018/09/19
533,PC-035,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
534,M-029,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
535,M-030,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
536,A-035,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
537,PC-036,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
538,P-033,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
539,A-036,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
540,A-037,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
541,PC-037,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
542,A-038,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
543,P-034,400,變壓器(P),運營部(OM),,,使用中,2018/11/09,2018/09/19
544,M-031,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
545,A-039,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
546,PC-038,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
547,P-035,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
548,M-032,400,滑鼠(M),研發部(RD),,,使用中,2018/11/09,2018/09/19
549,P-036,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
550,A-040,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
551,PC-039,400,電腦(PC),資訊部(IT),,,使用中,2018/11/09,2018/09/19
552,A-041,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
553,P-037,400,變壓器(P),資訊部(IT),,,使用中,2018/11/09,2018/09/19
554,M-033,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
555,M-034,400,滑鼠(M),運營部(OM),,,使用中,2018/11/09,2018/09/19
556,PC-040,400,電腦(PC),人資部(HR),,,使用中,2018/11/09,2018/09/19
557,A-042,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
558,P-038,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
559,A-043,400,延長線(A),客服部(CS),,,使用中,2018/11/09,2018/09/19
560,PC-041,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
561,A-044,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
562,M-035,400,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/19
563,A-045,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
564,P-039,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
565,A-046,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
566,P-040,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
567,M-036,400,滑鼠(M),研發部(RD),,,使用中,2018/11/09,2018/09/19
568,M-037,400,滑鼠(M),資訊部(IT),,,使用中,2018/11/09,2018/09/19
569,A-047,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
570,A-048,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
571,A-049,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
572,P-041,400,變壓器(P),資訊部(IT),,,使用中,2018/11/09,2018/09/19
573,A-050,400,延長線(A),人資部(HR),,,使用中,2018/11/09,2018/09/19
574,A-051,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
575,M-038,400,滑鼠(M),客服部(CS),,,使用中,2018/11/09,2018/09/19
576,PC-042,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
577,P-042,400,變壓器(P),公關部(PR),,,使用中,2018/11/09,2018/09/19
578,A-052,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
579,PC-043,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
580,M-039,400,滑鼠(M),客服部(CS),,,使用中,2018/11/09,2018/09/19
581,P-043,400,變壓器(P),客服部(CS),,,使用中,2018/11/09,2018/09/19
582,PC-044,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
583,M-040,400,滑鼠(M),公關部(PR),,,使用中,2018/11/09,2018/09/19
584,M-041,400,滑鼠(M),客服部(CS),,,使用中,2018/11/09,2018/09/19
585,A-053,400,延長線(A),研發部(RD),,,使用中,2018/11/09,2018/09/19
586,P-044,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
587,P-045,400,變壓器(P),研發部(RD),,,使用中,2018/11/09,2018/09/19
588,M-042,400,滑鼠(M),客服部(CS),,,使用中,2018/11/09,2018/09/19
589,PC-045,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
590,A-054,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
591,A-055,400,延長線(A),運營部(OM),,,使用中,2018/11/09,2018/09/19
592,PC-046,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
593,A-056,400,延長線(A),資訊部(IT),,,使用中,2018/11/09,2018/09/19
594,M-043,400,滑鼠(M),研發部(RD),,,使用中,2018/11/09,2018/09/19
595,M-044,400,滑鼠(M),研發部(RD),,,使用中,2018/11/09,2018/09/19
596,P-046,400,變壓器(P),資訊部(IT),,,使用中,2018/11/09,2018/09/19
597,P-047,400,變壓器(P),人資部(HR),,,使用中,2018/11/09,2018/09/19
598,A-057,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
599,P-048,400,變壓器(P),運營部(OM),,,使用中,2018/11/09,2018/09/19
600,P-049,400,變壓器(P),資訊部(IT),,,使用中,2018/11/09,2018/09/19
601,PC-047,400,電腦(PC),客服部(CS),,,使用中,2018/11/09,2018/09/19
602,PC-048,400,電腦(PC),研發部(RD),,,使用中,2018/11/09,2018/09/19
603,A-058,400,延長線(A),公關部(PR),,,使用中,2018/11/09,2018/09/19
604,PC-049,400,電腦(PC),公關部(PR),,,使用中,2018/11/09,2018/09/19
605,M-045,99999,滑鼠(M),人資部(HR),,,使用中,2018/11/09,2018/09/22
606,PC-051,,電腦(PC),,,,使用中,2018/11/09,2018/10/05
607,PC-052,,電腦(PC),公關部(PR),坎蒂絲(409),,使用中,2018/11/09,2018/10/10
608,PC-053,,電腦(PC),資訊部(IT),艾達(201),,使用中,2018/11/09,2018/10/10
609,PC-054,,電腦(PC),,,,使用中,2018/11/09,2018/10/10
610,PC-055,,電腦(PC),,,,使用中,2018/11/09,2018/10/31
611,PC-056,,電腦(PC),,,2018/10/12,使用中,2018/11/09,2018/10/31
612,M-046,,滑鼠(M),,,2018/11/15,使用中,2018/11/09,2018/11/01
613,PC-050,,電腦(PC),,,,使用中,2018/11/09,2018/11/01
614,PC-057,40000,電腦(PC),資訊部(IT),布藍達(211),2018/10/31,已使用,2018/11/04,2018/11/04
615,PC-058,40000,電腦(PC),人資部(HR),卡拉(110),2018/10/31,已使用,2018/11/04,2018/11/04
616,PC-059,40000,電腦(PC),資訊部(IT),貝蒂(209),2018/10/31,已使用,2018/11/04,2018/11/04
617,PC-060,40000,電腦(PC),資訊部(IT),艾達(201),2018/10/31,已使用,2018/11/04,2018/11/04
618,PC-061,40000,電腦(PC),資訊部(IT),可妮莉雅(216),2018/10/31,已使用,2018/11/04,2018/11/04
619,PC-062,40000,電腦(PC),公關部(PR),阿爾娃(401),2018/10/31,已使用,2018/11/04,2018/11/04
620,PC-063,40000,電腦(PC),資訊部(IT),布藍達(211),2018/10/31,已使用,2018/11/04,2018/11/04
621,PC-064,40000,電腦(PC),資訊部(IT),布藍達(211),2018/10/31,已使用,2018/11/04,2018/11/04
622,P-050,6000,變壓器(P),資訊部(IT),巴羅(234),2018/11/23,使用中,2018/11/04,2018/11/04
623,PC-065,40000,電腦(PC),資訊部(IT),布藍達(211),2018/10/31,已使用,2018/11/05,2018/11/05
624,M-047,500,滑鼠(M),,,2018/11/15,未使用,2018/11/09,2018/11/09
625,P-051,,變壓器(P),,,,未使用,2018/11/09,2018/11/09
626,PC-066,40000,電腦(PC),,,2018/11/06,未使用,2018/11/09,2018/11/09
627,PC-067,40000,電腦(PC),,,2018/11/06,未使用,2018/11/09,2018/11/09
628,PC-068,40000,電腦(PC),,,2018/11/06,未使用,2018/11/09,2018/11/09
629,PC-069,40000,電腦(PC),,,2018/11/06,未使用,2018/11/09,2018/11/09
630,PC-070,40000,電腦(PC),人資部(HR),卡拉(110),2018/11/06,使用中,2018/11/09,2018/11/09
631,PC-071,40000,電腦(PC),資訊部(IT),貝蒂(209),2018/11/06,使用中,2018/11/09,2018/11/09
632,PC-072,40000,電腦(PC),,,2018/11/06,未使用,2018/11/09,2018/11/09
633,PC-073,40000,電腦(PC),人資部(HR),卡拉(110),2018/11/06,使用中,2018/11/09,2018/11/09
634,PC-074,40000,電腦(PC),資訊部(IT),貝蒂(209),2018/11/06,使用中,2018/11/09,2018/11/09
